Substance ,Sector,CountryID,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021
CO2,Power,CAN,181.6867023,180.0707094,179.8248592,180.2149831,185.3253513,192.1300743,191.5153596,160.4965483,165.3344189
CO2,Power,CHN,675.0502881,683.9726186,716.8763369,724.9413293,723.3640927,658.760672,612.4778199,628.275662,671.9204197
CO2,Power,EGY,75.18569595,80.3749335,86.00034699,84.52418965,91.44800143,93.88910464,97.71344626,93.74524754,99.9417002
CO2,Power,FRA,126.417779,126.5657721,127.8001785,128.3321676,128.8780344,125.9883983,125.6876756,105.1721945,114.3145462
CO2,Power,DEU,147.7424461,127.0381872,130.7197489,134.2992671,132.4233851,127.6493477,128.2593415,121.2833958,123.9667029
CO2,Power,HKG,6.508139884,6.573398678,7.285435494,7.720996945,8.343534553,7.934568593,8.188103304,5.76213944,5.152612566
CO2,Power,IND,159.47336,167.8414174,172.1584957,178.0845752,183.2116145,190.04839,191.9962816,176.7886264,188.6033403
CO2,Power,IRN,152.8259289,155.8267386,154.6711126,153.599244,163.9057347,162.2560138,158.8636259,166.9891133,171.2793473
CO2,Power,IRQ,12.07355638,8.884624244,7.20969856,8.053789032,8.976767117,9.305962592,9.471162711,8.282732654,9.491006028
CO2,Power,ITA,111.1897777,103.4165249,108.9365099,108.2531566,109.0679366,101.1223664,96.29969259,86.51606148,92.99743592
CO2,Power,JPN,615.573191,590.0589377,565.4800682,568.9564881,555.4412267,527.0248308,505.5723679,478.105293,495.5679743
CO2,Power,MAR,17.89176789,20.34842254,21.6264599,21.60595427,22.52012354,23.30086676,28.70027107,28.32971997,30.97817328
CO2,Power,PAK ,36.59153709,39.05670837,44.06908186,49.13411764,53.84134354,49.33503698,49.82288785,48.43003918,55.68869883
CO2,Power,PHL,25.563349,26.64647248,30.82101731,33.33541641,34.37764234,35.63941654,36.88005066,29.7086517,32.36317948
CO2,Power,SAU ,4.28217467,4.15778574,4.62381576,4.86124743,4.905839489,5.075230083,4.859384729,4.68501388,4.721295822
CO2,Power,TUR,109.6141608,127.7553499,120.1471664,131.2400768,141.230567,145.6360296,135.6813847,133.5275253,141.8581136
CO2,Power,GBR,168.2616867,144.5928841,122.8853658,99.12999746,87.6321773,80.74068357,72.10131523,68.2969592,71.95409056
CO2,Power,USA,578.1598097,593.2710221,560.6637729,542.7195442,543.3631787,596.9267778,589.7794091,565.2652017,571.064373
CO2,Transport ,ARE,34.67148878,35.57732043,30.88101709,34.62966663,40.71724912,37.66934147,35.77838225,30.50409698,34.25930657
